1+gwekshin+VAI	nigwekishin
gwekshin+VAI+Neg+3+Prt	gwekishinsiiwiba

gwekshin+VAI+Neg+3+Dub	gwekishinsiiodig
gwekshin+VAI+Neg+3+Dub	gwekishinsiiwidig

gwekshin+VAI+Neg+X+Prt	gwekishinsiimiban
gwekshin+VAI+Neg+X+Prt	gwekishinsiimiba
gwekshin+VAI+Neg+X+Prt	gwekishinsiimaban
gwekshin+VAI+Neg+X+Prt	gwekishinsiimaba

gwekshin+VAI+Neg+X+Dub	gwekishinsiimidig

gwekshin+VAI+Neg+3+Prt+Dub	gwekishinsiigoban
gwekshin+VAI+Neg+3+Prt+Dub	gwekishinsiigoba

gwekshin+VAI+Neg+3+4+Prt+Dub	gwekishinsiiinigoban
gwekshin+VAI+Neg+3+4+Prt+Dub	gwekishinsiiinigoba

gwekshin+VAI+Neg+3+2+Pl+Prt+Dub	gwekishinsiiwaagoban
gwekshin+VAI+Neg+3+2+Pl+Prt+Dub	gwekishinsiiwaagoba

gwekshin+VAI+Neg+X+Prt+Dub	gwekishinsiimigoban
gwekshin+VAI+Neg+X+Prt+Dub	gwekishinsiimigoba

1+gwekshin+VAI+Neg+1+Pl+Prt	nigwekishinsiiminaaban
1+gwekshin+VAI+Neg+1+Pl+Prt	nigwekishinsiiminaaba

2+gwekshin+VAI+Neg+1+Pl+Prt	gigwekishinsiiminaaban
2+gwekshin+VAI+Neg+1+Pl+Prt	gigwekishinsiiminaaba

2+gwekshin+VAI+Neg+2+Pl+Prt	gigwekishinsiimwaaban
2+gwekshin+VAI+Neg+2+Pl+Prt	gigwekishinsiimwaaba

1+gwekshin+VAI+Neg+1+Pl+Dub	nigwekishinsiiminaadig

2+gwekshin+VAI+Neg+1+Pl+Dub	gigwekishinsiiminaadig

2+gwekshin+VAI+Neg+2+Pl+Dub	gigwekishinsiimwaadig

gwekshin+VAI+Neg+3+Prt+3+4	gwekishinsiiobaniin
gwekshin+VAI+Neg+3+Prt+3+4	gwekishinsiiwibaniin

gwekshin+VAI+Neg+3+Prt+3+Pl	gwekishinsiiobaniig
gwekshin+VAI+Neg+3+Prt+3+Pl	gwekishinsiiwibaniig

gwekshin+VAI+Neg+3+Dub+3+4	gwekishinsiiodigenan
gwekshin+VAI+Neg+3+Dub+3+4	gwekishinsiiwidigenan

gwekshin+VAI+Neg+3+Dub+3+Pl	gwekishinsiiodigenag
gwekshin+VAI+Neg+3+Dub+3+Pl	gwekishinsiiwidigenag

