waawaatesi+NA	waawaatesiw
3+waawaatesi+NA+Loc	owaawaatesiwng

X+waawaatesi+NA+4	iwaawaatesiwan

X+waawaatesi+NA+Loc	iwaawaatesiwng

X+waawaatesi+NA+Pl	iwaawaatesiwag

waawaatesi+NA+Con+Pej	waawaatesiwenyish

waawaatesi+NA+Dim+Pej	waawaatesiwensish

waawaatesi+NA+Con+Prt	waawaatesiwenyiban
waawaatesi+NA+Con+Prt	waawaatesiwenyiba

waawaatesi+NA+Con+Voc+Pl	waawaatesiwenydig

waawaatesi+NA+Dim+Prt	waawaatesiwensiban
waawaatesi+NA+Dim+Prt	waawaatesiwensiba

waawaatesi+NA+Dim+Voc+Pl	waawaatesiwensdig

waawaatesi+NA+Con+4	waawaatesiwenyin

waawaatesi+NA+Con+Loc	waawaatesiwenying

waawaatesi+NA+Con+Pl	waawaatesiwenyag

waawaatesi+NA+Dim+4	waawaatesiwensan

waawaatesi+NA+Dim+Loc	waawaatesiwensing

waawaatesi+NA+Dim+Pl	waawaatesiwensag

waawaatesi+NA+Pej+Prt	waawaatesiwshiban
waawaatesi+NA+Pej+Prt	waawaatesiwshiba

waawaatesi+NA+Pej+Voc+Pl	waawaatesiwshdig

waawaatesi+NA+Pej+4	waawaatesiwshan

waawaatesi+NA+Pej+Loc	waawaatesiwshing

waawaatesi+NA+Pej+Pl	waawaatesiwshag

waawaatesi+NA+Prt+4	waawaatesiwbaniin

waawaatesi+NA+Prt+Loc	waawaatesiwbaniing

waawaatesi+NA+Prt+Pl	waawaatesiwbani1ag

1+waawaatesi+NA+Con+ThmPos	niwaawaatesiwenym

1+waawaatesi+NA+Dim+ThmPos	niwaawaatesiwensm

2+waawaatesi+NA+Con+ThmPos	giwaawaatesiwenym

2+waawaatesi+NA+Dim+ThmPos	giwaawaatesiwensm

X+waawaatesi+NA+Con+ThmPos	iwaawaatesiwenym

X+waawaatesi+NA+Dim+ThmPos	iwaawaatesiwensm

1+waawaatesi+NA+Con+Pej	niwaawaatesiwenyish

1+waawaatesi+NA+Dim+Pej	niwaawaatesiwensish

2+waawaatesi+NA+Con+Pej	giwaawaatesiwenyish

2+waawaatesi+NA+Dim+Pej	giwaawaatesiwensish

X+waawaatesi+NA+Con+Pej	iwaawaatesiwenyish

X+waawaatesi+NA+Dim+Pej	iwaawaatesiwensish

1+waawaatesi+NA+Con+1+Pl	niwaawaatesiwenynaan
1+waawaatesi+NA+Con+1+Pl	niwaawaatesiwenynaa

1+waawaatesi+NA+Dim+1+Pl	niwaawaatesiwensnaan
1+waawaatesi+NA+Dim+1+Pl	niwaawaatesiwensnaa

2+waawaatesi+NA+Con+1+Pl	giwaawaatesiwenynaan
2+waawaatesi+NA+Con+1+Pl	giwaawaatesiwenynaa

2+waawaatesi+NA+Con+2+Pl	giwaawaatesiwenywaa

2+waawaatesi+NA+Dim+1+Pl	giwaawaatesiwensnaan
2+waawaatesi+NA+Dim+1+Pl	giwaawaatesiwensnaa

2+waawaatesi+NA+Dim+2+Pl	giwaawaatesiwenswaa

3+waawaatesi+NA+Con+3+4	owaawaatesiwenyniw

3+waawaatesi+NA+Dim+3+4	owaawaatesiwensniw

1+waawaatesi+NA+Con+Prt	niwaawaatesiwenyiban
1+waawaatesi+NA+Con+Prt	niwaawaatesiwenyiba

1+waawaatesi+NA+Con+Voc+Pl	niwaawaatesiwenydig

1+waawaatesi+NA+Dim+Prt	niwaawaatesiwensiban
1+waawaatesi+NA+Dim+Prt	niwaawaatesiwensiba

1+waawaatesi+NA+Dim+Voc+Pl	niwaawaatesiwensdig

2+waawaatesi+NA+Con+Prt	giwaawaatesiwenyiban
2+waawaatesi+NA+Con+Prt	giwaawaatesiwenyiba

2+waawaatesi+NA+Con+Voc+Pl	giwaawaatesiwenydig

2+waawaatesi+NA+Dim+Prt	giwaawaatesiwensiban
2+waawaatesi+NA+Dim+Prt	giwaawaatesiwensiba

2+waawaatesi+NA+Dim+Voc+Pl	giwaawaatesiwensdig

X+waawaatesi+NA+Con+Prt	iwaawaatesiwenyiban
X+waawaatesi+NA+Con+Prt	iwaawaatesiwenyiba

X+waawaatesi+NA+Con+Voc+Pl	iwaawaatesiwenydig

X+waawaatesi+NA+Dim+Prt	iwaawaatesiwensiban
X+waawaatesi+NA+Dim+Prt	iwaawaatesiwensiba

X+waawaatesi+NA+Dim+Voc+Pl	iwaawaatesiwensdig

1+waawaatesi+NA+Con+4	niwaawaatesiwenyin

1+waawaatesi+NA+Con+Loc	niwaawaatesiwenying

1+waawaatesi+NA+Con+Pl	niwaawaatesiwenyag

1+waawaatesi+NA+Dim+4	niwaawaatesiwensan

1+waawaatesi+NA+Dim+Loc	niwaawaatesiwensing

1+waawaatesi+NA+Dim+Pl	niwaawaatesiwensag

2+waawaatesi+NA+Con+4	giwaawaatesiwenyin

2+waawaatesi+NA+Con+Loc	giwaawaatesiwenying

2+waawaatesi+NA+Con+Pl	giwaawaatesiwenyag

2+waawaatesi+NA+Dim+4	giwaawaatesiwensan

2+waawaatesi+NA+Dim+Loc	giwaawaatesiwensing

2+waawaatesi+NA+Dim+Pl	giwaawaatesiwensag

3+waawaatesi+NA+Con+4	owaawaatesiwenyin

3+waawaatesi+NA+Con+Loc	owaawaatesiwenying

3+waawaatesi+NA+Dim+4	owaawaatesiwensan

3+waawaatesi+NA+Dim+Loc	owaawaatesiwensing

X+waawaatesi+NA+Con+4	iwaawaatesiwenyin

X+waawaatesi+NA+Con+Loc	iwaawaatesiwenying

X+waawaatesi+NA+Con+Pl	iwaawaatesiwenyag

X+waawaatesi+NA+Dim+4	iwaawaatesiwensan

X+waawaatesi+NA+Dim+Loc	iwaawaatesiwensing

X+waawaatesi+NA+Dim+Pl	iwaawaatesiwensag

1+waawaatesi+NA+ThmPos+Pej	niwaawaatesiwmish

2+waawaatesi+NA+ThmPos+Pej	giwaawaatesiwmish

X+waawaatesi+NA+ThmPos+Pej	iwaawaatesiwmish

1+waawaatesi+NA+ThmPos+1+Pl	niwaawaatesiwmnaan
1+waawaatesi+NA+ThmPos+1+Pl	niwaawaatesiwmnaa

2+waawaatesi+NA+ThmPos+1+Pl	giwaawaatesiwmnaan
2+waawaatesi+NA+ThmPos+1+Pl	giwaawaatesiwmnaa

2+waawaatesi+NA+ThmPos+2+Pl	giwaawaatesiwmwaa

3+waawaatesi+NA+ThmPos+3+4	owaawaatesiwmniw

1+waawaatesi+NA+ThmPos+Prt	niwaawaatesiwmiban
1+waawaatesi+NA+ThmPos+Prt	niwaawaatesiwmiba

1+waawaatesi+NA+ThmPos+Voc+Pl	niwaawaatesiwmdig

2+waawaatesi+NA+ThmPos+Prt	giwaawaatesiwmiban
2+waawaatesi+NA+ThmPos+Prt	giwaawaatesiwmiba

2+waawaatesi+NA+ThmPos+Voc+Pl	giwaawaatesiwmdig

X+waawaatesi+NA+ThmPos+Prt	iwaawaatesiwmiban
X+waawaatesi+NA+ThmPos+Prt	iwaawaatesiwmiba

X+waawaatesi+NA+ThmPos+Voc+Pl	iwaawaatesiwmdig

1+waawaatesi+NA+ThmPos+4	niwaawaatesiwman

1+waawaatesi+NA+ThmPos+Loc	niwaawaatesiwming

1+waawaatesi+NA+ThmPos+Pl	niwaawaatesiwmag

2+waawaatesi+NA+ThmPos+4	giwaawaatesiwman

2+waawaatesi+NA+ThmPos+Loc	giwaawaatesiwming

2+waawaatesi+NA+ThmPos+Pl	giwaawaatesiwmag

3+waawaatesi+NA+ThmPos+4	owaawaatesiwman

3+waawaatesi+NA+ThmPos+Loc	owaawaatesiwming

X+waawaatesi+NA+ThmPos+4	iwaawaatesiwman

X+waawaatesi+NA+ThmPos+Loc	iwaawaatesiwming

X+waawaatesi+NA+ThmPos+Pl	iwaawaatesiwmag

1+waawaatesi+NA+Pej+1+Pl	niwaawaatesiwshnaan
1+waawaatesi+NA+Pej+1+Pl	niwaawaatesiwshnaa

2+waawaatesi+NA+Pej+1+Pl	giwaawaatesiwshnaan
2+waawaatesi+NA+Pej+1+Pl	giwaawaatesiwshnaa

2+waawaatesi+NA+Pej+2+Pl	giwaawaatesiwshwaa

3+waawaatesi+NA+Pej+3+4	owaawaatesiwshniw

1+waawaatesi+NA+Pej+Prt	niwaawaatesiwshiban
1+waawaatesi+NA+Pej+Prt	niwaawaatesiwshiba

1+waawaatesi+NA+Pej+Voc+Pl	niwaawaatesiwshdig

2+waawaatesi+NA+Pej+Prt	giwaawaatesiwshiban
2+waawaatesi+NA+Pej+Prt	giwaawaatesiwshiba

2+waawaatesi+NA+Pej+Voc+Pl	giwaawaatesiwshdig

X+waawaatesi+NA+Pej+Prt	iwaawaatesiwshiban
X+waawaatesi+NA+Pej+Prt	iwaawaatesiwshiba

X+waawaatesi+NA+Pej+Voc+Pl	iwaawaatesiwshdig

1+waawaatesi+NA+Pej+4	niwaawaatesiwshan

1+waawaatesi+NA+Pej+Loc	niwaawaatesiwshing

1+waawaatesi+NA+Pej+Pl	niwaawaatesiwshag

2+waawaatesi+NA+Pej+4	giwaawaatesiwshan

2+waawaatesi+NA+Pej+Loc	giwaawaatesiwshing

2+waawaatesi+NA+Pej+Pl	giwaawaatesiwshag

3+waawaatesi+NA+Pej+4	owaawaatesiwshan

3+waawaatesi+NA+Pej+Loc	owaawaatesiwshing

X+waawaatesi+NA+Pej+4	iwaawaatesiwshan

X+waawaatesi+NA+Pej+Loc	iwaawaatesiwshing

X+waawaatesi+NA+Pej+Pl	iwaawaatesiwshag

1+waawaatesi+NA+1+Pl+Prt	niwaawaatesiwnaaniban
1+waawaatesi+NA+1+Pl+Prt	niwaawaatesiwnaaniba

1+waawaatesi+NA+1+Pl+Voc+Pl	niwaawaatesiwnaany1dig

2+waawaatesi+NA+1+Pl+Prt	giwaawaatesiwnaaniban
2+waawaatesi+NA+1+Pl+Prt	giwaawaatesiwnaaniba

2+waawaatesi+NA+1+Pl+Voc+Pl	giwaawaatesiwnaany1dig

2+waawaatesi+NA+2+Pl+Prt	giwaawaatesiwwaaban
2+waawaatesi+NA+2+Pl+Prt	giwaawaatesiwwaaba

2+waawaatesi+NA+2+Pl+Voc+Pl	giwaawaatesiwwaadig

3+waawaatesi+NA+3+4+Prt	owaawaatesiwniwiban
3+waawaatesi+NA+3+4+Prt	owaawaatesiwniwiba
3+waawaatesi+NA+3+4+Prt	owaawaatesiwniiban
3+waawaatesi+NA+3+4+Prt	owaawaatesiwniiba

1+waawaatesi+NA+1+Pl+4	niwaawaatesiwnaanin

1+waawaatesi+NA+1+Pl+Loc	niwaawaatesiwnaaning

1+waawaatesi+NA+1+Pl+Pl	niwaawaatesiwnaany1ag

2+waawaatesi+NA+1+Pl+4	giwaawaatesiwnaanin

2+waawaatesi+NA+1+Pl+Loc	giwaawaatesiwnaaning

2+waawaatesi+NA+1+Pl+Pl	giwaawaatesiwnaany1ag

2+waawaatesi+NA+2+Pl+4	giwaawaatesiwwaan

2+waawaatesi+NA+2+Pl+Loc	giwaawaatesiwwaang

2+waawaatesi+NA+2+Pl+Pl	giwaawaatesiwwaaag

3+waawaatesi+NA+2+Pl+4	owaawaatesiwwaan

3+waawaatesi+NA+2+Pl+Loc	owaawaatesiwwaang

3+waawaatesi+NA+3+4+4	owaawaatesiwniwan

3+waawaatesi+NA+3+4+Loc	owaawaatesiwniing

1+waawaatesi+NA+Prt+4	niwaawaatesiwbaniin

1+waawaatesi+NA+Prt+Loc	niwaawaatesiwbaniing

1+waawaatesi+NA+Prt+Pl	niwaawaatesiwbani1ag

2+waawaatesi+NA+Prt+4	giwaawaatesiwbaniin

2+waawaatesi+NA+Prt+Loc	giwaawaatesiwbaniing

2+waawaatesi+NA+Prt+Pl	giwaawaatesiwbani1ag

3+waawaatesi+NA+Prt+4	owaawaatesiwbaniin

3+waawaatesi+NA+Prt+Loc	owaawaatesiwbaniing

X+waawaatesi+NA+Prt+4	iwaawaatesiwbaniin

X+waawaatesi+NA+Prt+Loc	iwaawaatesiwbaniing

X+waawaatesi+NA+Prt+Pl	iwaawaatesiwbani1ag

waawaatesi+NA+Con+Pej+Prt	waawaatesiwenyishiban
waawaatesi+NA+Con+Pej+Prt	waawaatesiwenyishiba

waawaatesi+NA+Con+Pej+Voc+Pl	waawaatesiwenyishdig

waawaatesi+NA+Dim+Pej+Prt	waawaatesiwensishiban
waawaatesi+NA+Dim+Pej+Prt	waawaatesiwensishiba

waawaatesi+NA+Dim+Pej+Voc+Pl	waawaatesiwensishdig

waawaatesi+NA+Con+Pej+4	waawaatesiwenyishan

waawaatesi+NA+Con+Pej+Loc	waawaatesiwenyishing

waawaatesi+NA+Con+Pej+Pl	waawaatesiwenyishag

waawaatesi+NA+Dim+Pej+4	waawaatesiwensishan

waawaatesi+NA+Dim+Pej+Loc	waawaatesiwensishing

waawaatesi+NA+Dim+Pej+Pl	waawaatesiwensishag

waawaatesi+NA+Con+Prt+4	waawaatesiwenyibaniin

waawaatesi+NA+Con+Prt+Loc	waawaatesiwenyibaniing

waawaatesi+NA+Con+Prt+Pl	waawaatesiwenyibani1ag

waawaatesi+NA+Dim+Prt+4	waawaatesiwensibaniin

waawaatesi+NA+Dim+Prt+Loc	waawaatesiwensibaniing

waawaatesi+NA+Dim+Prt+Pl	waawaatesiwensibani1ag

waawaatesi+NA+Pej+Prt+4	waawaatesiwshibaniin

waawaatesi+NA+Pej+Prt+Loc	waawaatesiwshibaniing

waawaatesi+NA+Pej+Prt+Pl	waawaatesiwshibani1ag

1+waawaatesi+NA+Con+ThmPos+Pej	niwaawaatesiwenymish

1+waawaatesi+NA+Dim+ThmPos+Pej	niwaawaatesiwensmish

2+waawaatesi+NA+Con+ThmPos+Pej	giwaawaatesiwenymish

2+waawaatesi+NA+Dim+ThmPos+Pej	giwaawaatesiwensmish

X+waawaatesi+NA+Con+ThmPos+Pej	iwaawaatesiwenymish

X+waawaatesi+NA+Dim+ThmPos+Pej	iwaawaatesiwensmish

1+waawaatesi+NA+Con+ThmPos+1+Pl	niwaawaatesiwenymnaan
1+waawaatesi+NA+Con+ThmPos+1+Pl	niwaawaatesiwenymnaa

1+waawaatesi+NA+Dim+ThmPos+1+Pl	niwaawaatesiwensmnaan
1+waawaatesi+NA+Dim+ThmPos+1+Pl	niwaawaatesiwensmnaa

2+waawaatesi+NA+Con+ThmPos+1+Pl	giwaawaatesiwenymnaan
2+waawaatesi+NA+Con+ThmPos+1+Pl	giwaawaatesiwenymnaa

2+waawaatesi+NA+Con+ThmPos+2+Pl	giwaawaatesiwenymwaa

2+waawaatesi+NA+Dim+ThmPos+1+Pl	giwaawaatesiwensmnaan
2+waawaatesi+NA+Dim+ThmPos+1+Pl	giwaawaatesiwensmnaa

2+waawaatesi+NA+Dim+ThmPos+2+Pl	giwaawaatesiwensmwaa

3+waawaatesi+NA+Con+ThmPos+3+4	owaawaatesiwenymniw

3+waawaatesi+NA+Dim+ThmPos+3+4	owaawaatesiwensmniw

1+waawaatesi+NA+Con+ThmPos+Prt	niwaawaatesiwenymiban
1+waawaatesi+NA+Con+ThmPos+Prt	niwaawaatesiwenymiba

1+waawaatesi+NA+Con+ThmPos+Voc+Pl	niwaawaatesiwenymdig

1+waawaatesi+NA+Dim+ThmPos+Prt	niwaawaatesiwensmiban
1+waawaatesi+NA+Dim+ThmPos+Prt	niwaawaatesiwensmiba

1+waawaatesi+NA+Dim+ThmPos+Voc+Pl	niwaawaatesiwensmdig

2+waawaatesi+NA+Con+ThmPos+Prt	giwaawaatesiwenymiban
2+waawaatesi+NA+Con+ThmPos+Prt	giwaawaatesiwenymiba

2+waawaatesi+NA+Con+ThmPos+Voc+Pl	giwaawaatesiwenymdig

2+waawaatesi+NA+Dim+ThmPos+Prt	giwaawaatesiwensmiban
2+waawaatesi+NA+Dim+ThmPos+Prt	giwaawaatesiwensmiba

2+waawaatesi+NA+Dim+ThmPos+Voc+Pl	giwaawaatesiwensmdig

X+waawaatesi+NA+Con+ThmPos+Prt	iwaawaatesiwenymiban
X+waawaatesi+NA+Con+ThmPos+Prt	iwaawaatesiwenymiba

X+waawaatesi+NA+Con+ThmPos+Voc+Pl	iwaawaatesiwenymdig

X+waawaatesi+NA+Dim+ThmPos+Prt	iwaawaatesiwensmiban
X+waawaatesi+NA+Dim+ThmPos+Prt	iwaawaatesiwensmiba

X+waawaatesi+NA+Dim+ThmPos+Voc+Pl	iwaawaatesiwensmdig

1+waawaatesi+NA+Con+ThmPos+4	niwaawaatesiwenyman

1+waawaatesi+NA+Con+ThmPos+Loc	niwaawaatesiwenyming

1+waawaatesi+NA+Con+ThmPos+Pl	niwaawaatesiwenymag

1+waawaatesi+NA+Dim+ThmPos+4	niwaawaatesiwensman

1+waawaatesi+NA+Dim+ThmPos+Loc	niwaawaatesiwensming

1+waawaatesi+NA+Dim+ThmPos+Pl	niwaawaatesiwensmag

2+waawaatesi+NA+Con+ThmPos+4	giwaawaatesiwenyman

2+waawaatesi+NA+Con+ThmPos+Loc	giwaawaatesiwenyming

2+waawaatesi+NA+Con+ThmPos+Pl	giwaawaatesiwenymag

2+waawaatesi+NA+Dim+ThmPos+4	giwaawaatesiwensman

2+waawaatesi+NA+Dim+ThmPos+Loc	giwaawaatesiwensming

2+waawaatesi+NA+Dim+ThmPos+Pl	giwaawaatesiwensmag

3+waawaatesi+NA+Con+ThmPos+4	owaawaatesiwenyman

3+waawaatesi+NA+Con+ThmPos+Loc	owaawaatesiwenyming

3+waawaatesi+NA+Dim+ThmPos+4	owaawaatesiwensman

3+waawaatesi+NA+Dim+ThmPos+Loc	owaawaatesiwensming

X+waawaatesi+NA+Con+ThmPos+4	iwaawaatesiwenyman

X+waawaatesi+NA+Con+ThmPos+Loc	iwaawaatesiwenyming

X+waawaatesi+NA+Con+ThmPos+Pl	iwaawaatesiwenymag

X+waawaatesi+NA+Dim+ThmPos+4	iwaawaatesiwensman

X+waawaatesi+NA+Dim+ThmPos+Loc	iwaawaatesiwensming

X+waawaatesi+NA+Dim+ThmPos+Pl	iwaawaatesiwensmag

1+waawaatesi+NA+Con+Pej+1+Pl	niwaawaatesiwenyishnaan
1+waawaatesi+NA+Con+Pej+1+Pl	niwaawaatesiwenyishnaa

1+waawaatesi+NA+Dim+Pej+1+Pl	niwaawaatesiwensishnaan
1+waawaatesi+NA+Dim+Pej+1+Pl	niwaawaatesiwensishnaa

2+waawaatesi+NA+Con+Pej+1+Pl	giwaawaatesiwenyishnaan
2+waawaatesi+NA+Con+Pej+1+Pl	giwaawaatesiwenyishnaa

2+waawaatesi+NA+Con+Pej+2+Pl	giwaawaatesiwenyishwaa

2+waawaatesi+NA+Dim+Pej+1+Pl	giwaawaatesiwensishnaan
2+waawaatesi+NA+Dim+Pej+1+Pl	giwaawaatesiwensishnaa

2+waawaatesi+NA+Dim+Pej+2+Pl	giwaawaatesiwensishwaa

3+waawaatesi+NA+Con+Pej+3+4	owaawaatesiwenyishniw

3+waawaatesi+NA+Dim+Pej+3+4	owaawaatesiwensishniw

1+waawaatesi+NA+Con+Pej+Prt	niwaawaatesiwenyishiban
1+waawaatesi+NA+Con+Pej+Prt	niwaawaatesiwenyishiba

1+waawaatesi+NA+Con+Pej+Voc+Pl	niwaawaatesiwenyishdig

1+waawaatesi+NA+Dim+Pej+Prt	niwaawaatesiwensishiban
1+waawaatesi+NA+Dim+Pej+Prt	niwaawaatesiwensishiba

1+waawaatesi+NA+Dim+Pej+Voc+Pl	niwaawaatesiwensishdig

2+waawaatesi+NA+Con+Pej+Prt	giwaawaatesiwenyishiban
2+waawaatesi+NA+Con+Pej+Prt	giwaawaatesiwenyishiba

2+waawaatesi+NA+Con+Pej+Voc+Pl	giwaawaatesiwenyishdig

2+waawaatesi+NA+Dim+Pej+Prt	giwaawaatesiwensishiban
2+waawaatesi+NA+Dim+Pej+Prt	giwaawaatesiwensishiba

2+waawaatesi+NA+Dim+Pej+Voc+Pl	giwaawaatesiwensishdig

X+waawaatesi+NA+Con+Pej+Prt	iwaawaatesiwenyishiban
X+waawaatesi+NA+Con+Pej+Prt	iwaawaatesiwenyishiba

X+waawaatesi+NA+Con+Pej+Voc+Pl	iwaawaatesiwenyishdig

X+waawaatesi+NA+Dim+Pej+Prt	iwaawaatesiwensishiban
X+waawaatesi+NA+Dim+Pej+Prt	iwaawaatesiwensishiba

X+waawaatesi+NA+Dim+Pej+Voc+Pl	iwaawaatesiwensishdig

1+waawaatesi+NA+Con+Pej+4	niwaawaatesiwenyishan

1+waawaatesi+NA+Con+Pej+Loc	niwaawaatesiwenyishing

1+waawaatesi+NA+Con+Pej+Pl	niwaawaatesiwenyishag

1+waawaatesi+NA+Dim+Pej+4	niwaawaatesiwensishan

1+waawaatesi+NA+Dim+Pej+Loc	niwaawaatesiwensishing

1+waawaatesi+NA+Dim+Pej+Pl	niwaawaatesiwensishag

2+waawaatesi+NA+Con+Pej+4	giwaawaatesiwenyishan

2+waawaatesi+NA+Con+Pej+Loc	giwaawaatesiwenyishing

2+waawaatesi+NA+Con+Pej+Pl	giwaawaatesiwenyishag

2+waawaatesi+NA+Dim+Pej+4	giwaawaatesiwensishan

2+waawaatesi+NA+Dim+Pej+Loc	giwaawaatesiwensishing

2+waawaatesi+NA+Dim+Pej+Pl	giwaawaatesiwensishag

3+waawaatesi+NA+Con+Pej+4	owaawaatesiwenyishan

3+waawaatesi+NA+Con+Pej+Loc	owaawaatesiwenyishing

3+waawaatesi+NA+Dim+Pej+4	owaawaatesiwensishan

3+waawaatesi+NA+Dim+Pej+Loc	owaawaatesiwensishing

X+waawaatesi+NA+Con+Pej+4	iwaawaatesiwenyishan

X+waawaatesi+NA+Con+Pej+Loc	iwaawaatesiwenyishing

X+waawaatesi+NA+Con+Pej+Pl	iwaawaatesiwenyishag

X+waawaatesi+NA+Dim+Pej+4	iwaawaatesiwensishan

X+waawaatesi+NA+Dim+Pej+Loc	iwaawaatesiwensishing

X+waawaatesi+NA+Dim+Pej+Pl	iwaawaatesiwensishag

1+waawaatesi+NA+Con+1+Pl+Prt	niwaawaatesiwenynaaniban
1+waawaatesi+NA+Con+1+Pl+Prt	niwaawaatesiwenynaaniba

1+waawaatesi+NA+Con+1+Pl+Voc+Pl	niwaawaatesiwenynaany1dig

1+waawaatesi+NA+Dim+1+Pl+Prt	niwaawaatesiwensnaaniban
1+waawaatesi+NA+Dim+1+Pl+Prt	niwaawaatesiwensnaaniba

1+waawaatesi+NA+Dim+1+Pl+Voc+Pl	niwaawaatesiwensnaany1dig

2+waawaatesi+NA+Con+1+Pl+Prt	giwaawaatesiwenynaaniban
2+waawaatesi+NA+Con+1+Pl+Prt	giwaawaatesiwenynaaniba

2+waawaatesi+NA+Con+1+Pl+Voc+Pl	giwaawaatesiwenynaany1dig

2+waawaatesi+NA+Con+2+Pl+Prt	giwaawaatesiwenywaaban
2+waawaatesi+NA+Con+2+Pl+Prt	giwaawaatesiwenywaaba

2+waawaatesi+NA+Con+2+Pl+Voc+Pl	giwaawaatesiwenywaadig

2+waawaatesi+NA+Dim+1+Pl+Prt	giwaawaatesiwensnaaniban
2+waawaatesi+NA+Dim+1+Pl+Prt	giwaawaatesiwensnaaniba

2+waawaatesi+NA+Dim+1+Pl+Voc+Pl	giwaawaatesiwensnaany1dig

2+waawaatesi+NA+Dim+2+Pl+Prt	giwaawaatesiwenswaaban
2+waawaatesi+NA+Dim+2+Pl+Prt	giwaawaatesiwenswaaba

2+waawaatesi+NA+Dim+2+Pl+Voc+Pl	giwaawaatesiwenswaadig

3+waawaatesi+NA+Con+3+4+Prt	owaawaatesiwenyniwiban
3+waawaatesi+NA+Con+3+4+Prt	owaawaatesiwenyniwiba
3+waawaatesi+NA+Con+3+4+Prt	owaawaatesiwenyniiban
3+waawaatesi+NA+Con+3+4+Prt	owaawaatesiwenyniiba

3+waawaatesi+NA+Dim+3+4+Prt	owaawaatesiwensniwiban
3+waawaatesi+NA+Dim+3+4+Prt	owaawaatesiwensniwiba
3+waawaatesi+NA+Dim+3+4+Prt	owaawaatesiwensniiban
3+waawaatesi+NA+Dim+3+4+Prt	owaawaatesiwensniiba

1+waawaatesi+NA+Con+1+Pl+4	niwaawaatesiwenynaanin

1+waawaatesi+NA+Con+1+Pl+Loc	niwaawaatesiwenynaaning

1+waawaatesi+NA+Con+1+Pl+Pl	niwaawaatesiwenynaany1ag

1+waawaatesi+NA+Dim+1+Pl+4	niwaawaatesiwensnaanin

1+waawaatesi+NA+Dim+1+Pl+Loc	niwaawaatesiwensnaaning

1+waawaatesi+NA+Dim+1+Pl+Pl	niwaawaatesiwensnaany1ag

2+waawaatesi+NA+Con+1+Pl+4	giwaawaatesiwenynaanin

2+waawaatesi+NA+Con+1+Pl+Loc	giwaawaatesiwenynaaning

2+waawaatesi+NA+Con+1+Pl+Pl	giwaawaatesiwenynaany1ag

2+waawaatesi+NA+Con+2+Pl+4	giwaawaatesiwenywaan

