jooweshk+NA	jooweshk
1+jooweshk+NA+ThmPos+1+Pl	nijooweshkmnaa

2+jooweshk+NA+ThmPos+1+Pl	gijooweshkmnaan
2+jooweshk+NA+ThmPos+1+Pl	gijooweshkmnaa

2+jooweshk+NA+ThmPos+2+Pl	gijooweshkmwaa

3+jooweshk+NA+ThmPos+3+4	ojooweshkmniw

1+jooweshk+NA+ThmPos+Prt	nijooweshkmiban
1+jooweshk+NA+ThmPos+Prt	nijooweshkmiba

1+jooweshk+NA+ThmPos+Voc+Pl	nijooweshkmdig

2+jooweshk+NA+ThmPos+Prt	gijooweshkmiban
2+jooweshk+NA+ThmPos+Prt	gijooweshkmiba

2+jooweshk+NA+ThmPos+Voc+Pl	gijooweshkmdig

X+jooweshk+NA+ThmPos+Prt	ijooweshkmiban
X+jooweshk+NA+ThmPos+Prt	ijooweshkmiba

X+jooweshk+NA+ThmPos+Voc+Pl	ijooweshkmdig

1+jooweshk+NA+ThmPos+4	nijooweshkman

1+jooweshk+NA+ThmPos+Loc	nijooweshkming

1+jooweshk+NA+ThmPos+Pl	nijooweshkmag

2+jooweshk+NA+ThmPos+4	gijooweshkman

2+jooweshk+NA+ThmPos+Loc	gijooweshkming

2+jooweshk+NA+ThmPos+Pl	gijooweshkmag

3+jooweshk+NA+ThmPos+4	ojooweshkman

3+jooweshk+NA+ThmPos+Loc	ojooweshkming

X+jooweshk+NA+ThmPos+4	ijooweshkman

X+jooweshk+NA+ThmPos+Loc	ijooweshkming

X+jooweshk+NA+ThmPos+Pl	ijooweshkmag

1+jooweshk+NA+Pej+1+Pl	nijooweshkshnaan
1+jooweshk+NA+Pej+1+Pl	nijooweshkshnaa

2+jooweshk+NA+Pej+1+Pl	gijooweshkshnaan
2+jooweshk+NA+Pej+1+Pl	gijooweshkshnaa

2+jooweshk+NA+Pej+2+Pl	gijooweshkshwaa

3+jooweshk+NA+Pej+3+4	ojooweshkshniw

1+jooweshk+NA+Pej+Prt	nijooweshkshiban
1+jooweshk+NA+Pej+Prt	nijooweshkshiba

1+jooweshk+NA+Pej+Voc+Pl	nijooweshkshdig

2+jooweshk+NA+Pej+Prt	gijooweshkshiban
2+jooweshk+NA+Pej+Prt	gijooweshkshiba

2+jooweshk+NA+Pej+Voc+Pl	gijooweshkshdig

X+jooweshk+NA+Pej+Prt	ijooweshkshiban
X+jooweshk+NA+Pej+Prt	ijooweshkshiba

X+jooweshk+NA+Pej+Voc+Pl	ijooweshkshdig

1+jooweshk+NA+Pej+4	nijooweshkshan

1+jooweshk+NA+Pej+Loc	nijooweshkshing

1+jooweshk+NA+Pej+Pl	nijooweshkshag

2+jooweshk+NA+Pej+4	gijooweshkshan

2+jooweshk+NA+Pej+Loc	gijooweshkshing

2+jooweshk+NA+Pej+Pl	gijooweshkshag

3+jooweshk+NA+Pej+4	ojooweshkshan

3+jooweshk+NA+Pej+Loc	ojooweshkshing

X+jooweshk+NA+Pej+4	ijooweshkshan

X+jooweshk+NA+Pej+Loc	ijooweshkshing

X+jooweshk+NA+Pej+Pl	ijooweshkshag

1+jooweshk+NA+1+Pl+Prt	nijooweshknaaniban
1+jooweshk+NA+1+Pl+Prt	nijooweshknaaniba

1+jooweshk+NA+1+Pl+Voc+Pl	nijooweshknaany1dig

2+jooweshk+NA+1+Pl+Prt	gijooweshknaaniban
2+jooweshk+NA+1+Pl+Prt	gijooweshknaaniba

2+jooweshk+NA+1+Pl+Voc+Pl	gijooweshknaany1dig

2+jooweshk+NA+2+Pl+Prt	gijooweshkwaaban
2+jooweshk+NA+2+Pl+Prt	gijooweshkwaaba

2+jooweshk+NA+2+Pl+Voc+Pl	gijooweshkwaadig

3+jooweshk+NA+3+4+Prt	ojooweshkniwiban
3+jooweshk+NA+3+4+Prt	ojooweshkniwiba
3+jooweshk+NA+3+4+Prt	ojooweshkniiban
3+jooweshk+NA+3+4+Prt	ojooweshkniiba

1+jooweshk+NA+1+Pl+4	nijooweshknaanin

1+jooweshk+NA+1+Pl+Loc	nijooweshknaaning

1+jooweshk+NA+1+Pl+Pl	nijooweshknaany1ag

2+jooweshk+NA+1+Pl+4	gijooweshknaanin

2+jooweshk+NA+1+Pl+Loc	gijooweshknaaning

2+jooweshk+NA+1+Pl+Pl	gijooweshknaany1ag

2+jooweshk+NA+2+Pl+4	gijooweshkwaan

2+jooweshk+NA+2+Pl+Loc	gijooweshkwaang

2+jooweshk+NA+2+Pl+Pl	gijooweshkwaaag

3+jooweshk+NA+2+Pl+4	ojooweshkwaan

3+jooweshk+NA+2+Pl+Loc	ojooweshkwaang

3+jooweshk+NA+3+4+4	ojooweshkniwan

3+jooweshk+NA+3+4+Loc	ojooweshkniing

1+jooweshk+NA+Prt+4	nijooweshkbaniin

1+jooweshk+NA+Prt+Loc	nijooweshkbaniing

1+jooweshk+NA+Prt+Pl	nijooweshkbani1ag

2+jooweshk+NA+Prt+4	gijooweshkbaniin

2+jooweshk+NA+Prt+Loc	gijooweshkbaniing

2+jooweshk+NA+Prt+Pl	gijooweshkbani1ag

3+jooweshk+NA+Prt+4	ojooweshkbaniin

3+jooweshk+NA+Prt+Loc	ojooweshkbaniing

X+jooweshk+NA+Prt+4	ijooweshkbaniin

X+jooweshk+NA+Prt+Loc	ijooweshkbaniing

X+jooweshk+NA+Prt+Pl	ijooweshkbani1ag

jooweshk+NA+Con+Pej+Prt	jooweshkenyishiban
jooweshk+NA+Con+Pej+Prt	jooweshkenyishiba

jooweshk+NA+Con+Pej+Voc+Pl	jooweshkenyishdig

jooweshk+NA+Dim+Pej+Prt	jooweshkensishiban
jooweshk+NA+Dim+Pej+Prt	jooweshkensishiba

jooweshk+NA+Dim+Pej+Voc+Pl	jooweshkensishdig

jooweshk+NA+Con+Pej+4	jooweshkenyishan

jooweshk+NA+Con+Pej+Loc	jooweshkenyishing

jooweshk+NA+Con+Pej+Pl	jooweshkenyishag

jooweshk+NA+Dim+Pej+4	jooweshkensishan

jooweshk+NA+Dim+Pej+Loc	jooweshkensishing

jooweshk+NA+Dim+Pej+Pl	jooweshkensishag

jooweshk+NA+Con+Prt+4	jooweshkenyibaniin

jooweshk+NA+Con+Prt+Loc	jooweshkenyibaniing

jooweshk+NA+Con+Prt+Pl	jooweshkenyibani1ag

jooweshk+NA+Dim+Prt+4	jooweshkensibaniin

jooweshk+NA+Dim+Prt+Loc	jooweshkensibaniing

jooweshk+NA+Dim+Prt+Pl	jooweshkensibani1ag

jooweshk+NA+Pej+Prt+4	jooweshkshibaniin

jooweshk+NA+Pej+Prt+Loc	jooweshkshibaniing

jooweshk+NA+Pej+Prt+Pl	jooweshkshibani1ag

1+jooweshk+NA+Con+ThmPos+Pej	nijooweshkenymish

1+jooweshk+NA+Dim+ThmPos+Pej	nijooweshkensmish

2+jooweshk+NA+Con+ThmPos+Pej	gijooweshkenymish

2+jooweshk+NA+Dim+ThmPos+Pej	gijooweshkensmish

X+jooweshk+NA+Con+ThmPos+Pej	ijooweshkenymish

X+jooweshk+NA+Dim+ThmPos+Pej	ijooweshkensmish

1+jooweshk+NA+Con+ThmPos+1+Pl	nijooweshkenymnaan
1+jooweshk+NA+Con+ThmPos+1+Pl	nijooweshkenymnaa

1+jooweshk+NA+Dim+ThmPos+1+Pl	nijooweshkensmnaan
1+jooweshk+NA+Dim+ThmPos+1+Pl	nijooweshkensmnaa

2+jooweshk+NA+Con+ThmPos+1+Pl	gijooweshkenymnaan
2+jooweshk+NA+Con+ThmPos+1+Pl	gijooweshkenymnaa

2+jooweshk+NA+Con+ThmPos+2+Pl	gijooweshkenymwaa

2+jooweshk+NA+Dim+ThmPos+1+Pl	gijooweshkensmnaan
2+jooweshk+NA+Dim+ThmPos+1+Pl	gijooweshkensmnaa

2+jooweshk+NA+Dim+ThmPos+2+Pl	gijooweshkensmwaa

3+jooweshk+NA+Con+ThmPos+3+4	ojooweshkenymniw

3+jooweshk+NA+Dim+ThmPos+3+4	ojooweshkensmniw

1+jooweshk+NA+Con+ThmPos+Prt	nijooweshkenymiban
1+jooweshk+NA+Con+ThmPos+Prt	nijooweshkenymiba

1+jooweshk+NA+Con+ThmPos+Voc+Pl	nijooweshkenymdig

1+jooweshk+NA+Dim+ThmPos+Prt	nijooweshkensmiban
1+jooweshk+NA+Dim+ThmPos+Prt	nijooweshkensmiba

1+jooweshk+NA+Dim+ThmPos+Voc+Pl	nijooweshkensmdig

2+jooweshk+NA+Con+ThmPos+Prt	gijooweshkenymiban
2+jooweshk+NA+Con+ThmPos+Prt	gijooweshkenymiba

2+jooweshk+NA+Con+ThmPos+Voc+Pl	gijooweshkenymdig

2+jooweshk+NA+Dim+ThmPos+Prt	gijooweshkensmiban
2+jooweshk+NA+Dim+ThmPos+Prt	gijooweshkensmiba

2+jooweshk+NA+Dim+ThmPos+Voc+Pl	gijooweshkensmdig

X+jooweshk+NA+Con+ThmPos+Prt	ijooweshkenymiban
X+jooweshk+NA+Con+ThmPos+Prt	ijooweshkenymiba

X+jooweshk+NA+Con+ThmPos+Voc+Pl	ijooweshkenymdig

X+jooweshk+NA+Dim+ThmPos+Prt	ijooweshkensmiban
X+jooweshk+NA+Dim+ThmPos+Prt	ijooweshkensmiba

X+jooweshk+NA+Dim+ThmPos+Voc+Pl	ijooweshkensmdig

1+jooweshk+NA+Con+ThmPos+4	nijooweshkenyman

1+jooweshk+NA+Con+ThmPos+Loc	nijooweshkenyming

1+jooweshk+NA+Con+ThmPos+Pl	nijooweshkenymag

1+jooweshk+NA+Dim+ThmPos+4	nijooweshkensman

1+jooweshk+NA+Dim+ThmPos+Loc	nijooweshkensming

1+jooweshk+NA+Dim+ThmPos+Pl	nijooweshkensmag

2+jooweshk+NA+Con+ThmPos+4	gijooweshkenyman

2+jooweshk+NA+Con+ThmPos+Loc	gijooweshkenyming

2+jooweshk+NA+Con+ThmPos+Pl	gijooweshkenymag

2+jooweshk+NA+Dim+ThmPos+4	gijooweshkensman

2+jooweshk+NA+Dim+ThmPos+Loc	gijooweshkensming

2+jooweshk+NA+Dim+ThmPos+Pl	gijooweshkensmag

3+jooweshk+NA+Con+ThmPos+4	ojooweshkenyman

3+jooweshk+NA+Con+ThmPos+Loc	ojooweshkenyming

3+jooweshk+NA+Dim+ThmPos+4	ojooweshkensman

3+jooweshk+NA+Dim+ThmPos+Loc	ojooweshkensming

X+jooweshk+NA+Con+ThmPos+4	ijooweshkenyman

X+jooweshk+NA+Con+ThmPos+Loc	ijooweshkenyming

X+jooweshk+NA+Con+ThmPos+Pl	ijooweshkenymag

X+jooweshk+NA+Dim+ThmPos+4	ijooweshkensman

X+jooweshk+NA+Dim+ThmPos+Loc	ijooweshkensming

X+jooweshk+NA+Dim+ThmPos+Pl	ijooweshkensmag

1+jooweshk+NA+Con+Pej+1+Pl	nijooweshkenyishnaan
1+jooweshk+NA+Con+Pej+1+Pl	nijooweshkenyishnaa

1+jooweshk+NA+Dim+Pej+1+Pl	nijooweshkensishnaan
1+jooweshk+NA+Dim+Pej+1+Pl	nijooweshkensishnaa

2+jooweshk+NA+Con+Pej+1+Pl	gijooweshkenyishnaan
2+jooweshk+NA+Con+Pej+1+Pl	gijooweshkenyishnaa

2+jooweshk+NA+Con+Pej+2+Pl	gijooweshkenyishwaa

2+jooweshk+NA+Dim+Pej+1+Pl	gijooweshkensishnaan
2+jooweshk+NA+Dim+Pej+1+Pl	gijooweshkensishnaa

2+jooweshk+NA+Dim+Pej+2+Pl	gijooweshkensishwaa

3+jooweshk+NA+Con+Pej+3+4	ojooweshkenyishniw

3+jooweshk+NA+Dim+Pej+3+4	ojooweshkensishniw

1+jooweshk+NA+Con+Pej+Prt	nijooweshkenyishiban
1+jooweshk+NA+Con+Pej+Prt	nijooweshkenyishiba

1+jooweshk+NA+Con+Pej+Voc+Pl	nijooweshkenyishdig

1+jooweshk+NA+Dim+Pej+Prt	nijooweshkensishiban
1+jooweshk+NA+Dim+Pej+Prt	nijooweshkensishiba

1+jooweshk+NA+Dim+Pej+Voc+Pl	nijooweshkensishdig

2+jooweshk+NA+Con+Pej+Prt	gijooweshkenyishiban
2+jooweshk+NA+Con+Pej+Prt	gijooweshkenyishiba

2+jooweshk+NA+Con+Pej+Voc+Pl	gijooweshkenyishdig

2+jooweshk+NA+Dim+Pej+Prt	gijooweshkensishiban
2+jooweshk+NA+Dim+Pej+Prt	gijooweshkensishiba

2+jooweshk+NA+Dim+Pej+Voc+Pl	gijooweshkensishdig

X+jooweshk+NA+Con+Pej+Prt	ijooweshkenyishiban
X+jooweshk+NA+Con+Pej+Prt	ijooweshkenyishiba

X+jooweshk+NA+Con+Pej+Voc+Pl	ijooweshkenyishdig

X+jooweshk+NA+Dim+Pej+Prt	ijooweshkensishiban
X+jooweshk+NA+Dim+Pej+Prt	ijooweshkensishiba

X+jooweshk+NA+Dim+Pej+Voc+Pl	ijooweshkensishdig

1+jooweshk+NA+Con+Pej+4	nijooweshkenyishan

1+jooweshk+NA+Con+Pej+Loc	nijooweshkenyishing

1+jooweshk+NA+Con+Pej+Pl	nijooweshkenyishag

1+jooweshk+NA+Dim+Pej+4	nijooweshkensishan

1+jooweshk+NA+Dim+Pej+Loc	nijooweshkensishing

1+jooweshk+NA+Dim+Pej+Pl	nijooweshkensishag

2+jooweshk+NA+Con+Pej+4	gijooweshkenyishan

2+jooweshk+NA+Con+Pej+Loc	gijooweshkenyishing

2+jooweshk+NA+Con+Pej+Pl	gijooweshkenyishag

2+jooweshk+NA+Dim+Pej+4	gijooweshkensishan

2+jooweshk+NA+Dim+Pej+Loc	gijooweshkensishing

2+jooweshk+NA+Dim+Pej+Pl	gijooweshkensishag

3+jooweshk+NA+Con+Pej+4	ojooweshkenyishan

3+jooweshk+NA+Con+Pej+Loc	ojooweshkenyishing

3+jooweshk+NA+Dim+Pej+4	ojooweshkensishan

3+jooweshk+NA+Dim+Pej+Loc	ojooweshkensishing

X+jooweshk+NA+Con+Pej+4	ijooweshkenyishan

X+jooweshk+NA+Con+Pej+Loc	ijooweshkenyishing

X+jooweshk+NA+Con+Pej+Pl	ijooweshkenyishag

X+jooweshk+NA+Dim+Pej+4	ijooweshkensishan

X+jooweshk+NA+Dim+Pej+Loc	ijooweshkensishing

X+jooweshk+NA+Dim+Pej+Pl	ijooweshkensishag

1+jooweshk+NA+Con+1+Pl+Prt	nijooweshkenynaaniban
1+jooweshk+NA+Con+1+Pl+Prt	nijooweshkenynaaniba

1+jooweshk+NA+Con+1+Pl+Voc+Pl	nijooweshkenynaany1dig

1+jooweshk+NA+Dim+1+Pl+Prt	nijooweshkensnaaniban
1+jooweshk+NA+Dim+1+Pl+Prt	nijooweshkensnaaniba

1+jooweshk+NA+Dim+1+Pl+Voc+Pl	nijooweshkensnaany1dig

2+jooweshk+NA+Con+1+Pl+Prt	gijooweshkenynaaniban
2+jooweshk+NA+Con+1+Pl+Prt	gijooweshkenynaaniba

2+jooweshk+NA+Con+1+Pl+Voc+Pl	gijooweshkenynaany1dig

2+jooweshk+NA+Con+2+Pl+Prt	gijooweshkenywaaban
2+jooweshk+NA+Con+2+Pl+Prt	gijooweshkenywaaba

2+jooweshk+NA+Con+2+Pl+Voc+Pl	gijooweshkenywaadig

2+jooweshk+NA+Dim+1+Pl+Prt	gijooweshkensnaaniban
2+jooweshk+NA+Dim+1+Pl+Prt	gijooweshkensnaaniba

2+jooweshk+NA+Dim+1+Pl+Voc+Pl	gijooweshkensnaany1dig

2+jooweshk+NA+Dim+2+Pl+Prt	gijooweshkenswaaban
2+jooweshk+NA+Dim+2+Pl+Prt	gijooweshkenswaaba

2+jooweshk+NA+Dim+2+Pl+Voc+Pl	gijooweshkenswaadig

3+jooweshk+NA+Con+3+4+Prt	ojooweshkenyniwiban
3+jooweshk+NA+Con+3+4+Prt	ojooweshkenyniwiba
3+jooweshk+NA+Con+3+4+Prt	ojooweshkenyniiban
3+jooweshk+NA+Con+3+4+Prt	ojooweshkenyniiba

3+jooweshk+NA+Dim+3+4+Prt	ojooweshkensniwiban
3+jooweshk+NA+Dim+3+4+Prt	ojooweshkensniwiba
3+jooweshk+NA+Dim+3+4+Prt	ojooweshkensniiban
3+jooweshk+NA+Dim+3+4+Prt	ojooweshkensniiba

1+jooweshk+NA+Con+1+Pl+4	nijooweshkenynaanin

1+jooweshk+NA+Con+1+Pl+Loc	nijooweshkenynaaning

1+jooweshk+NA+Con+1+Pl+Pl	nijooweshkenynaany1ag

1+jooweshk+NA+Dim+1+Pl+4	nijooweshkensnaanin

1+jooweshk+NA+Dim+1+Pl+Loc	nijooweshkensnaaning

1+jooweshk+NA+Dim+1+Pl+Pl	nijooweshkensnaany1ag

2+jooweshk+NA+Con+1+Pl+4	gijooweshkenynaanin

2+jooweshk+NA+Con+1+Pl+Loc	gijooweshkenynaaning

2+jooweshk+NA+Con+1+Pl+Pl	gijooweshkenynaany1ag

2+jooweshk+NA+Con+2+Pl+4	gijooweshkenywaan

2+jooweshk+NA+Con+2+Pl+Loc	gijooweshkenywaang

2+jooweshk+NA+Con+2+Pl+Pl	gijooweshkenywaaag

2+jooweshk+NA+Dim+1+Pl+4	gijooweshkensnaanin

2+jooweshk+NA+Dim+1+Pl+Loc	gijooweshkensnaaning

2+jooweshk+NA+Dim+1+Pl+Pl	gijooweshkensnaany1ag

2+jooweshk+NA+Dim+2+Pl+4	gijooweshkenswaan

2+jooweshk+NA+Dim+2+Pl+Loc	gijooweshkenswaang

2+jooweshk+NA+Dim+2+Pl+Pl	gijooweshkenswaaag

3+jooweshk+NA+Con+2+Pl+4	ojooweshkenywaan

3+jooweshk+NA+Con+2+Pl+Loc	ojooweshkenywaang

3+jooweshk+NA+Con+3+4+4	ojooweshkenyniwan

3+jooweshk+NA+Con+3+4+Loc	ojooweshkenyniing

3+jooweshk+NA+Dim+2+Pl+4	ojooweshkenswaan

3+jooweshk+NA+Dim+2+Pl+Loc	ojooweshkenswaang

3+jooweshk+NA+Dim+3+4+4	ojooweshkensniwan

3+jooweshk+NA+Dim+3+4+Loc	ojooweshkensniing

1+jooweshk+NA+Con+Prt+4	nijooweshkenyibaniin

1+jooweshk+NA+Con+Prt+Loc	nijooweshkenyibaniing

1+jooweshk+NA+Con+Prt+Pl	nijooweshkenyibani1ag

1+jooweshk+NA+Dim+Prt+4	nijooweshkensibaniin

1+jooweshk+NA+Dim+Prt+Loc	nijooweshkensibaniing

1+jooweshk+NA+Dim+Prt+Pl	nijooweshkensibani1ag

2+jooweshk+NA+Con+Prt+4	gijooweshkenyibaniin

2+jooweshk+NA+Con+Prt+Loc	gijooweshkenyibaniing

2+jooweshk+NA+Con+Prt+Pl	gijooweshkenyibani1ag

2+jooweshk+NA+Dim+Prt+4	gijooweshkensibaniin

2+jooweshk+NA+Dim+Prt+Loc	gijooweshkensibaniing

2+jooweshk+NA+Dim+Prt+Pl	gijooweshkensibani1ag

3+jooweshk+NA+Con+Prt+4	ojooweshkenyibaniin

3+jooweshk+NA+Con+Prt+Loc	ojooweshkenyibaniing

3+jooweshk+NA+Dim+Prt+4	ojooweshkensibaniin

3+jooweshk+NA+Dim+Prt+Loc	ojooweshkensibaniing

X+jooweshk+NA+Con+Prt+4	ijooweshkenyibaniin

X+jooweshk+NA+Con+Prt+Loc	ijooweshkenyibaniing

X+jooweshk+NA+Con+Prt+Pl	ijooweshkenyibani1ag

X+jooweshk+NA+Dim+Prt+4	ijooweshkensibaniin

X+jooweshk+NA+Dim+Prt+Loc	ijooweshkensibaniing

X+jooweshk+NA+Dim+Prt+Pl	ijooweshkensibani1ag

1+jooweshk+NA+ThmPos+Pej+1+Pl	nijooweshkmishnaan
1+jooweshk+NA+ThmPos+Pej+1+Pl	nijooweshkmishnaa

2+jooweshk+NA+ThmPos+Pej+1+Pl	gijooweshkmishnaan
